Date,SP,MNDT
09/23/2013,1711.44,38.48
09/24/2013,1707.63,38.4
09/25/2013,1701.71,40.0
09/26/2013,1703.85,41.78
09/27/2013,1695.52,43.0
09/30/2013,1687.26,42.72
10/01/2013,1696.55,42.9
10/02/2013,1693.87,40.9
10/03/2013,1692.35,41.53
10/04/2013,1691.94,43.84
10/07/2013,1687.15,43.93
10/08/2013,1676.79,42.65
10/09/2013,1662.47,40.75
10/10/2013,1692.56,41.89
10/11/2013,1703.44,42.5
10/14/2013,1711.03,42.49
10/15/2013,1711.57,42.0
10/16/2013,1721.76,41.25
10/17/2013,1733.45,42.25
10/18/2013,1745.31,44.55
10/21/2013,1747.79,42.25
10/22/2013,1759.33,41.11
10/23/2013,1752.27,39.99
10/24/2013,1753.94,42.7
10/25/2013,1759.82,43.14
10/28/2013,1764.99,41.15
10/29/2013,1772.09,40.82
10/30/2013,1775.22,40.0
10/31/2013,1768.53,38.7
11/01/2013,1765.67,39.0
11/04/2013,1768.78,38.38
11/05/2013,1767.03,38.29
11/06/2013,1773.74,39.97
11/07/2013,1774.54,39.91
11/08/2013,1770.78,41.5
11/11/2013,1773.44,38.05
11/12/2013,1771.78,37.77
11/13/2013,1782.0,38.82
11/14/2013,1791.53,39.08
11/15/2013,1798.22,39.25
11/18/2013,1802.33,39.0
11/19/2013,1795.51,37.5
11/20/2013,1795.73,37.0
11/21/2013,1797.16,35.11
11/22/2013,1804.84,35.0
11/25/2013,1808.1,35.27
11/26/2013,1808.42,37.8
11/27/2013,1808.27,38.74
11/29/2013,1813.55,38.95
12/02/2013,1810.02,38.4
12/03/2013,1800.1,37.25
12/04/2013,1799.8,37.14
12/05/2013,1792.82,38.27
12/06/2013,1806.04,37.33
12/09/2013,1811.52,37.26
12/10/2013,1808.52,37.71
12/11/2013,1802.97,38.95
12/12/2013,1782.99,37.93
12/13/2013,1780.92,39.42
12/16/2013,1792.22,39.25
12/17/2013,1786.77,39.1
12/18/2013,1811.08,39.49
12/19/2013,1810.88,40.49
12/20/2013,1823.75,40.16
12/23/2013,1829.75,40.43
12/24/2013,1833.32,40.35
12/26/2013,1842.84,43.85
12/27/2013,1844.89,43.49
12/30/2013,1842.47,44.17
12/31/2013,1849.44,44.2
01/02/2014,1845.86,43.87
01/03/2014,1838.24,57.27
01/06/2014,1837.16,59.43
01/07/2014,1840.1,61.63
01/08/2014,1840.02,60.5
01/09/2014,1843.23,58.39
01/10/2014,1843.15,58.9
01/13/2014,1843.45,58.45
01/14/2014,1839.26,59.37
01/15/2014,1850.84,66.17
01/16/2014,1847.99,71.53
01/17/2014,1846.04,75.24
01/21/2014,1849.31,72.48
01/22/2014,1846.87,74.4
01/23/2014,1842.29,74.2
01/24/2014,1826.96,71.3
01/27/2014,1795.98,70.0
01/28/2014,1793.87,71.5
01/29/2014,1790.15,71.0
01/30/2014,1798.77,71.33
01/31/2014,1793.88,76.94
02/03/2014,1784.83,72.74
02/04/2014,1758.73,68.38
02/05/2014,1755.79,68.2
02/06/2014,1774.06,67.12
02/07/2014,1798.03,70.97
02/10/2014,1799.94,78.7
02/11/2014,1823.54,79.92
02/12/2014,1826.55,75.74
02/13/2014,1830.25,73.66
02/14/2014,1841.65,75.89
02/18/2014,1842.87,75.3
02/19/2014,1847.5,73.7
02/20/2014,1842.79,73.5
02/21/2014,1846.13,73.88
02/24/2014,1858.71,77.98
02/25/2014,1852.91,82.3
02/26/2014,1852.65,86.18
02/27/2014,1854.53,87.61
02/28/2014,1867.92,88.0
